mo_hinh,k,validation,validation_dung_diem,test_10_seed,test_10_seed_lech_chuan,bo_diem,bo_diem_trung_vi,validation_m,test_10_seed_m,test_10_seed_lech_chuan_m,bo_diem_m,bo_diem_trung_vi_m
WKNN,3,5.037355208074667,0.45,4.137408071596714,0.45201069619148276,14.958233022634289,13.533287080503069,1.767104206992593,1.4514027515161274,0.15856535222397217,5.247348144340108,4.747477107840477
WKNN,4,5.349902402768076,0.39166666666666666,4.328351390442421,0.3991631250418168,14.651621964786129,13.146835856762795,1.8767457628910411,1.5183856677672014,0.14002642426466932,5.139788985246974,4.611910018552389
WKNN,5,5.366294615578484,0.30833333333333335,4.4931564477854185,0.4657777615868701,14.421452271461275,13.0,1.8824961511449323,1.5761992818831247,0.16339483876467403,5.059045456828615,4.5604
WKNN,7,6.0699403111292245,0.175,4.901641426132365,0.3768382098083604,14.260845812627311,12.999999999999998,2.129335061144132,1.7194958122872335,0.13219484400077283,5.0027047110696605,4.5604
WKNN,9,6.54054178509073,0.10833333333333334,5.25233307591534,0.2896567860553932,14.229964167896918,12.987578866390589,2.294422058209828,1.8425184430311012,0.10161160054823193,4.991871430098239,4.556042666329819
WKNN,11,6.873414505267298,0.06666666666666667,5.5628943762598,0.27778943514238486,14.133189824320196,12.987341003768117,2.411193808447768,1.9514633471919378,0.0974485338479486,4.957922990371524,4.555959224121856
WKNN,15,7.7149551948811315,0.0,6.191997342618682,0.32193166755096286,14.004359724574847,12.821303703077245,2.706406282364301,2.1721526677906335,0.11293362897687777,4.912729391380856,4.497713339039498
WKNN,21,8.938806803318306,0.0,7.210032919281026,0.44672556338790886,14.024602854076472,12.939323343115953,3.1357334266040615,2.529279548083784,0.15671132763647844,4.919830681210026,4.539114628765076
WKNN,31,10.061609246594886,0.0,8.492074206750209,0.4613404411251209,14.199929872294888,13.304537555849567,3.529612523705486,2.979019631727973,0.1618382267466924,4.981335399201047,4.667231774592028
WKNN,41,10.96199317462751,0.0,9.417399292693627,0.4469278003620583,14.388045948849172,13.677692719020762,3.8454672056593306,3.3036236718769243,0.15678227236701006,5.0473265188562895,4.798134605832483
WKNN,61,12.370500732145796,0.0,10.805670538303495,0.43339044672771654,14.848500755388022,14.073592356930089,4.339571656836745,3.790629224836866,0.15203336871208295,5.208854064990118,4.937016198811075
kNN vân tay (Bray-Curtis),1,2.5857693138304665,0.8166666666666667,2.5803263300185426,0.35778365186523525,16.293956260458156,14.212670403551895,0.9070878752917276,0.9051784765705048,0.1255105050743245,5.715919856168721,4.985804777566005
kNN vân tay (Bray-Curtis),2,3.3377157339471126,0.6916666666666667,2.747903120697689,0.20204457186397906,15.072708099360629,13.52208792967569,1.1708706794686472,0.9639644147407493,0.07087723580988385,5.287506001255709,4.743548445730232
kNN vân tay (Bray-Curtis),3,3.4528119050488346,0.5666666666666667,3.080044487148843,0.2141723926497142,14.594241880872119,13.0,1.2112464162911312,1.080479606091814,0.07513167534151974,5.119660051809939,4.5604
kNN vân tay (Bray-Curtis),4,3.74059584969046,0.45,3.329047805599668,0.2490609011785149,14.32003043965056,12.957265193836875,1.3122010240714135,1.1678299702043635,0.08737056413342302,5.023466678229417,4.545408629997976
kNN vân tay (Bray-Curtis),5,4.06216293685436,0.39166666666666666,3.5599767615435125,0.19087837703340438,14.163056346702309,12.806248474865697,1.4250067582485095,1.2488398479494642,0.06696013466331825,4.96840016642317,4.492431964982886
kNN vân tay (Bray-Curtis),7,4.5164127008063115,0.3,3.882025343101014,0.2659310286018828,13.984533320804559,12.935422000543898,1.584357575442854,1.3618144903598357,0.09328860483354048,4.90577428893824,4.537746037790799
kNN vân tay (Bray-Curtis),9,4.951508382291081,0.16666666666666666,4.216201369476153,0.2925872287436798,13.924532417431301,12.796560472773548,1.7369891405077111,1.4790434404122343,0.10263959984328289,4.8847259720349,4.4890334138489605
kNN vân tay (Bray-Curtis),11,5.369863230666709,0.14166666666666666,4.553927106792059,0.25418653337170466,13.748814144258695,12.639678084798408,1.8837480213178817,1.5975176290626543,0.089168635906794,4.823084001805951,4.433999072147282
kNN vân tay (Bray-Curtis),15,6.181296424706276,0.0,5.080021029913211,0.26695043277980185,13.466385862539227,12.184787471263427,2.1683987857869615,1.7820713772935544,0.09364621181915449,4.7240081605787605,4.2744234449192104
kNN vân tay (Bray-Curtis),21,7.1270602729722405,0.0,5.9433767717496755,0.29850045589280944,13.28473293548707,11.844666721213155,2.500172743758662,2.084936571529786,0.10471395992719755,4.660284313768864,4.155109085801575
kNN vân tay (Bray-Curtis),31,8.201269710147452,0.0,7.0940706936476,0.3639619208035801,13.110717782865596,11.442378435289474,2.877005414319726,2.488599999331578,0.1276778418178959,4.5992397982292506,4.013986355099547
kNN vân tay (Bray-Curtis),41,9.04061695057749,0.0,7.835532844994155,0.29157003337180887,13.022065225637729,11.901023489476716,3.1714484262625837,2.7487049220239497,0.10228276770683055,4.568140481153715,4.174879040108432
kNN vân tay (Bray-Curtis),61,10.274847650935616,0.0,8.936940066507752,0.2763649995011209,13.114771483692259,11.803368393757768,3.604416555948214,3.1350785753309194,0.09694884182499322,4.600661836479245,4.140621632530225
